run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
6,20260706,RDHO,0.9280878178397632,0.6697544845064299,0.2583333333333333,2.9947544845064296,85.31840505709087,1.4498791101306228,1.7520949513002015,0.32747261351207796,0.931169691731895,0.7416666666666667,4.253252341999996,9112,0.94761661975517,0.019528801915406735,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
7,20260707,RDHO,0.9503889025939635,0.6753889025939634,0.275,3.1503889025939635,71.49837320447136,1.3646328457170065,1.683616065246941,0.3372214074608134,0.9428241227650446,0.725,4.274348406999934,9112,0.9632498435355217,0.012860940941558208,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
8,20260708,RDHO,1.0074034992014949,0.6990701658681616,0.30833333333333335,3.474070165868162,69.23843464948249,1.6430962711253518,1.9326043959956993,0.32929895824711025,0.9488047410280579,0.6916666666666667,4.300556527000026,9112,1.0122395966121638,0.004836097410668927,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
9,20260709,RDHO,1.205107181158036,0.8384405144913692,0.3666666666666667,4.13844051449137,121.49659331930172,1.9231655110981234,2.2323418341967156,0.2791434013292092,0.9354947190493978,0.6333333333333333,4.200410720000036,9112,1.2362543366798866,0.031147155521850545,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
10,20260710,RDHO,0.9774288230036885,0.7107621563370218,0.2666666666666667,3.1107621563370222,79.35716893168453,1.9465180893210217,2.319746723335145,0.33354183015375305,0.9505225155697347,0.7333333333333333,4.515478104000067,9112,0.9874457940662249,0.010016971062536406,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
11,20260711,RDHO,1.1174303587173018,0.750763692050635,0.3666666666666667,4.050763692050635,91.80819665572295,1.8052645482011798,2.1171764395182286,0.3135628475741961,0.9748925571263095,0.6333333333333333,4.588885077999976,9112,1.1333431636531914,0.015912804935889646,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
12,20260712,RDHO,0.956381247210783,0.6897145805441163,0.2666666666666667,3.0897145805441166,69.63890611752325,1.8249715351324087,2.2092841477385696,0.3456168104519448,0.9573729778653115,0.7333333333333333,4.572364797000091,9112,0.9618538758132011,0.00547262860241815,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
13,20260713,RDHO,0.9243339438707686,0.632667277204102,0.29166666666666663,3.2576672772041015,54.23232735951461,1.411629340186972,1.6864232953413816,0.34617131119701955,0.9409618356047547,0.7083333333333334,4.238056771999936,9112,0.9334686267979402,0.009134682927171567,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
14,20260714,RDHO,0.9227416876708454,0.6477416876708454,0.275,3.1227416876708456,61.80311524476766,1.6813252934924954,2.0257636158561434,0.3591398949951773,0.9478945950259134,0.725,4.236119445999975,9112,0.9243109503101948,0.0015692626393494225,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
15,20260715,RDHO,0.9364911366434223,0.678157803310089,0.2583333333333333,3.0031578033100885,85.72843386992591,1.604157327047438,1.9585098773463898,0.3344269698187591,0.9493142025614587,0.7416666666666667,4.244077207000146,9112,0.9499713134391521,0.01348017679572977,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
