run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime,experiment,lambda0,alpha
13,3789020455,13,1,3789020455,2749148358,RDHO,1.0221636560113825,1.0221636560113825,0.7054969893447159,1.180496989344716,1.5,1.0,0.475,0.3166666666666666,0.8691916650415589,1.0922510683811535,1.0636381394264816,101.57349904550767,1.7184371468837685,2.031052357070372,0.3129861187110738,0.8928020755048748,0.6833333333333333,15011,15050,9.343572500161828,dynamic_penalty,0.5,1.0
14,3791268546,14,1,3791268546,2751396449,RDHO,1.021178604981189,1.021178604981189,0.7045119383145224,1.1795119383145225,1.5,1.0,0.475,0.3166666666666666,0.6175541804151091,1.1756651767261015,1.1828767191114893,75.62481260261174,1.834552356639741,2.143430583244609,0.3141951900173408,0.8899900462984872,0.6833333333333333,15011,15050,9.478043400216848,dynamic_penalty,0.5,1.0
15,3793516637,15,1,3793516637,2753644540,RDHO,0.9490622654608116,0.9490622654608116,0.6657289321274784,1.0907289321274785,1.5,1.0,0.425,0.2833333333333333,0.6665975169005972,1.0651001254422994,1.078232459913395,76.24465023126535,1.5760760170756558,1.886617876043104,0.3279102643231983,0.9107785605033424,0.7166666666666667,15011,15050,8.965878400020301,dynamic_penalty,0.5,1.0
16,3795764728,16,1,3795764728,2755892631,RDHO,1.049115703786392,1.049115703786392,0.7324490371197252,1.207449037119725,1.5,1.0,0.475,0.3166666666666666,0.8406713082917235,1.1261736635207211,1.1605639773749905,107.47716990883777,2.1872112609658894,2.533286687474773,0.3114291732640811,0.867332843244477,0.6833333333333333,15011,15050,9.365502700209618,dynamic_penalty,0.5,1.0
17,3798012819,17,1,3798012819,2758140722,RDHO,0.84198276390338,0.84198276390338,0.61698276390338,0.95448276390338,1.5,1.0,0.3374999999999999,0.2249999999999999,0.6807016837470191,0.9286861872062144,0.965520819380484,78.42844047058159,1.545897351691316,1.8905569344907085,0.3381767924415407,0.9319415300212665,0.775,15011,15050,9.488313700072467,dynamic_penalty,0.5,1.0
18,3800260910,18,1,3800260910,2760388813,RDHO,1.0917997094319527,1.0917997094319527,0.7251330427652859,1.2751330427652858,1.5,1.0,0.55,0.3666666666666667,0.6197020141823397,1.2163972366874805,1.2744661586116226,71.75051570171378,1.7320598304255284,2.02119443079549,0.3133980638358803,0.907302242514166,0.6333333333333333,15011,15050,9.342697700019926,dynamic_penalty,0.5,1.0
19,3802509001,19,1,3802509001,2762636904,RDHO,1.175814992504802,1.175814992504802,0.7841483258381353,1.3716483258381356,1.5,1.0,0.5875000000000001,0.3916666666666667,0.6931287551494396,1.379061900479673,1.3424000478462652,86.517374693754,1.9801559999921612,2.2962537423535947,0.2941969126040868,0.8864442156978515,0.6083333333333333,15011,15050,9.40688470005989,dynamic_penalty,0.5,1.0
20,4076776103,20,1,4076776103,3036904006,RDHO,0.973998767433657,0.973998767433657,0.6656654341003236,1.1281654341003238,1.5,1.0,0.4625,0.3083333333333333,0.5984113194715107,1.0873340584814342,1.109205502473016,76.84699058545718,1.7053465495815878,1.9922883247704064,0.3475407041380903,0.8886091882107945,0.6916666666666667,15011,15050,9.008698999881744,dynamic_penalty,0.5,1.0
21,4079024194,21,1,4079024194,3039152097,RDHO,0.9762356588725364,0.9762356588725364,0.6595689922058697,1.1345689922058697,1.5,1.0,0.475,0.3166666666666666,0.7331160236811481,0.986997667713294,1.0539131612863757,80.26224733381508,1.476457748387343,1.787971689180641,0.3345646355824004,0.9023581394598864,0.6833333333333333,15011,15050,9.166966899763793,dynamic_penalty,0.5,1.0
22,4081272285,22,1,4081272285,3041400188,RDHO,1.0519893977809418,1.0519893977809418,0.7103227311142752,1.2228227311142752,1.5,1.0,0.5125,0.3416666666666667,0.541670887051298,1.2429461024880966,1.273354281020313,60.47872698480674,1.7891508664367604,2.058324315578643,0.3260806792965384,0.9220820147862476,0.6583333333333333,15011,15050,9.4691755999811,dynamic_penalty,0.5,1.0
