run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain
10,20260710,TLBO-HHO,1.0919018918787535,0.7252352252120868,0.3666666666666667,1.0919018918787535,55.04202120261753,2.4500859020554464,2.82331453606957,0.3160771258845686,0.9512283042466227,0.6333333333333333,5.200919445000068,7551,1.0919018918787535,0.0
10,20260710,CWTSSA,0.9971500198701598,0.6804833532034932,0.3166666666666666,0.9971500198701598,77.44782437513958,2.0769902679132146,2.4502189019273373,0.3290900793750934,0.9510640097003512,0.6833333333333333,5.656407681000019,7551,0.9971500198701598,0.0
10,20260710,Greedy-ED,1.0142028343177432,0.6642028343177432,0.35,1.0142028343177432,83.71089476388977,1.9430385995672672,2.31626723358139,0.3262530858009264,0.949579463696282,0.65,0.3479530639999666,361,1.0142028343177432,0.0
11,20260711,RIME,1.2990130495448724,0.865679716211539,0.4333333333333333,1.2990130495448724,99.64916238778818,2.37464130428234,2.686553195599388,0.2924580174240402,0.9456718613587252,0.5666666666666667,4.6695418279999785,7551,1.2990130495448724,0.0
11,20260711,DBO,1.1367819787920213,0.7284486454586878,0.4083333333333333,1.1367819787920213,77.2603858465591,1.969147927105929,2.2810598184229773,0.3061651018611194,0.976613022136885,0.5916666666666667,4.360353351999947,7551,1.1367819787920213,0.0
11,20260711,TLBO-HHO,1.204581850079852,0.7545818500798519,0.4499999999999999,1.204581850079852,77.06414185673661,2.0543236346899456,2.3662355260069945,0.2987922187074089,0.9672146576421178,0.55,4.742361188000018,7551,1.204581850079852,0.0
11,20260711,CWTSSA,1.1546247818924318,0.7629581152257652,0.3916666666666667,1.1546247818924318,76.79374831618381,2.109945903142757,2.4218577944598056,0.3040693493273353,0.9715205407949866,0.6083333333333333,4.466689507000069,7551,1.1546247818924318,0.0
11,20260711,Greedy-ED,1.1764450921811145,0.7097784255144477,0.4666666666666667,1.1764450921811145,110.91123721687448,1.72483404376043,2.0367459350774784,0.3105792028573167,0.975449123647526,0.5333333333333333,0.2348158429999784,361,1.1764450921811145,0.0
12,20260712,RIME,1.4271928993184173,0.9855262326517508,0.4416666666666666,1.4271928993184173,103.67975161986368,4.257777029486919,4.642089642093079,0.2847317680188698,0.8553297317030818,0.5583333333333333,6.319676097999945,7551,1.4271928993184173,0.0
12,20260712,DBO,0.9366772683634482,0.6616772683634482,0.275,0.9366772683634482,77.35420312459453,1.8473345599050903,2.231647172511251,0.3388473404813309,0.9551934962245028,0.725,5.078743976999931,7551,0.9366772683634482,0.0
12,20260712,TLBO-HHO,0.9850323686913997,0.6850323686913996,0.3,0.9850323686913997,62.4326805516448,2.072289307222276,2.456601919828437,0.3379045982757788,0.9565037203352014,0.7,4.52560938299996,7551,0.9850323686913997,0.0
12,20260712,CWTSSA,0.9335196950390195,0.6585196950390196,0.275,0.9335196950390195,72.81121590016176,1.8836028642365483,2.267915476842709,0.3394861562976389,0.9557615340475452,0.725,4.6917142890000605,7551,0.9335196950390195,0.0
12,20260712,Greedy-ED,0.9976455493847964,0.6559788827181297,0.3416666666666667,0.9976455493847964,86.61489021893986,1.770251194850471,2.154563807456632,0.341092196186659,0.9556581562194632,0.6583333333333333,0.27785708600004,361,0.9976455493847964,0.0
13,20260713,RIME,1.2649695496478324,0.8733028829811655,0.3916666666666667,1.2649695496478324,67.73902163119836,3.0524071593334035,3.3272011144878126,0.3022557894873227,0.8956344326209027,0.6083333333333333,6.5167800469999975,7551,1.2649695496478324,0.0
