seed,algorithm,status,fitness,csr
20260713,CWTSSA,success,1.0912765995631484,0.66666666666666663
20260713,Greedy-ED,success,1.5606983101292504,0.56666666666666665
20260714,RDHO,success,0.9517035760858803,0.71666666666666667
20260714,RIME,success,1.4198228793675085,0.5083333333333333
20260714,DBO,success,1.360160268442232,0.60833333333333328
20260714,TLBO-HHO,success,1.243963069029326,0.57499999999999996
20260714,CWTSSA,success,1.2226599420583417,0.59166666666666667
20260714,Greedy-ED,success,1.1596308975495817,0.625
20260715,RDHO,success,1.0041579549997941,0.70833333333333337
20260715,RIME,success,1.4832406058803826,0.55000000000000004
20260715,DBO,success,1.2844109536494708,0.59166666666666667
20260715,TLBO-HHO,success,1.2219631867308083,0.59999999999999998
20260715,CWTSSA,success,1.2976848924951199,0.60833333333333328
20260715,Greedy-ED,success,1.1644600171149699,0.6166666666666667
20260716,RDHO,success,0.95392095700910884,0.70833333333333337
20260716,RIME,success,1.3475436653810724,0.57499999999999996
20260716,DBO,success,1.1245290692658285,0.67500000000000004
20260716,TLBO-HHO,success,1.0815480481390991,0.64166666666666672
20260716,CWTSSA,success,1.1487809117418686,0.625
20260716,Greedy-ED,success,1.0509169050999398,0.64166666666666672
20260717,RDHO,success,1.0796669523916413,0.65000000000000002
20260717,RIME,success,1.7408757032427771,0.41666666666666669
20260717,DBO,success,1.3964238714882398,0.54166666666666663
20260717,TLBO-HHO,success,1.3126520281123049,0.57499999999999996
20260717,CWTSSA,success,1.3940045069409663,0.53333333333333333
20260717,Greedy-ED,success,1.2313153614768071,0.60833333333333328
20260718,RDHO,success,0.85268169720119846,0.77500000000000002
20260718,RIME,success,1.4266235498815112,0.55833333333333335
20260718,DBO,success,0.98655532399908108,0.70833333333333337
20260718,TLBO-HHO,success,1.0779666757375703,0.625
20260718,CWTSSA,success,1.1004402016783781,0.6166666666666667
20260718,Greedy-ED,success,0.90734478894097936,0.75
20260719,RDHO,success,0.93446123688187654,0.7416666666666667
20260719,RIME,success,1.738852260856971,0.5083333333333333
20260719,DBO,success,1.1596840171388221,0.6333333333333333
20260719,TLBO-HHO,success,1.1327817505532249,0.65000000000000002
20260719,CWTSSA,success,1.3329342557570283,0.57499999999999996
20260719,Greedy-ED,success,1.0438322278194727,0.69999999999999996
20260720,RDHO,success,0.85065107106630955,0.7583333333333333
20260720,RIME,success,1.4592694184453592,0.54166666666666663
20260720,DBO,success,0.98367387118480942,0.69999999999999996
20260720,TLBO-HHO,success,1.1136427631334391,0.625
20260720,CWTSSA,success,1.0755750022286863,0.65833333333333333
20260720,Greedy-ED,success,0.91830593032283869,0.69166666666666665
20260721,RDHO,success,0.98227124087029105,0.70833333333333337
20260721,RIME,success,1.6778482294592905,0.5083333333333333
20260721,DBO,success,1.1524277477887117,0.64166666666666672
20260721,TLBO-HHO,success,1.2485179007556002,0.56666666666666665
20260721,CWTSSA,success,1.2967686472530995,0.59999999999999998
20260721,Greedy-ED,success,1.0436363908970603,0.66666666666666663
20260722,RDHO,success,0.7667012770112257,0.78333333333333333
20260722,RIME,success,1.6552060238943322,0.5
20260722,DBO,success,0.95999018070032749,0.69166666666666665
20260722,TLBO-HHO,success,0.91257964424194005,0.70833333333333337
20260722,CWTSSA,success,1.0239782216778313,0.60833333333333328
20260722,Greedy-ED,success,0.82705284580838323,0.73333333333333328
20260723,RDHO,success,0.76198466216263971,0.80833333333333335
20260723,RIME,success,1.6550029011993976,0.55000000000000004
20260723,DBO,success,0.90476672826414195,0.7416666666666667
20260723,TLBO-HHO,success,1.1221184233741459,0.64166666666666672
20260723,CWTSSA,success,1.0259131654379117,0.66666666666666663
20260723,Greedy-ED,success,1.3213346129923034,0.6166666666666667
20260724,RDHO,success,0.95401028754904793,0.71666666666666667
