run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,lambda0,alpha
8,20260708,RDHO,1.0178489799928614,0.6845156466595281,0.3333333333333333,2.1845156466595284,82.73637161743997,2.0958028691441464,2.415908369225269,0.4269261544133242,0.9347713941628156,0.6666666666666666,1,0.8314628901482196,1.0000000000000002,1,6.644829458999993,10232,1.071528749095373,0.0536797691025119,dynamic_penalty,0.5,2.0
9,20260709,RDHO,0.8922844910690595,0.6506178244023928,0.2416666666666667,1.738117824402393,104.44563061538436,1.8300493655230603,2.1745656087660583,0.4552220890552877,0.9418877811534112,0.7583333333333333,1,0.813000339542832,1.0000000000000002,1,6.548873583000159,10232,0.9026709069253416,0.010386415856282,dynamic_penalty,0.5,2.0
10,20260710,RDHO,1.0092812770907431,0.6842812770907433,0.3249999999999999,2.146781277090743,116.75740703189172,1.6887561871589696,1.9706928470453893,0.4286325652361662,0.9023287575969996,0.675,1,0.8591990259833318,1.0000000000000002,1,6.689101208000011,10232,1.037634301989256,0.0283530248985126,dynamic_penalty,0.5,2.0
11,20260711,RDHO,0.7025766333754428,0.5275766333754428,0.175,1.3150766333754431,63.71754548911023,1.5425036371903516,1.879914556812618,0.5187579647556259,0.92146397778998,0.825,1,0.8293179886596089,1.0,1,6.44142629199996,10232,0.708571781548766,0.0059951481733231,dynamic_penalty,0.5,2.0
12,20260712,RDHO,1.2274201496973147,0.8107534830306481,0.4166666666666666,2.685753483030648,117.43552002317875,1.975966226272489,2.2496019422630846,0.3694791346767078,0.9352040834091476,0.5833333333333334,1,0.9018035098897788,1.0000000000000002,1,6.525992166000151,10232,1.2523841804712863,0.0249640307739718,dynamic_penalty,0.5,2.0
13,20260713,RDHO,0.9136703922180004,0.6470037255513338,0.2666666666666667,1.847003725551334,66.21995692942502,1.6498203388231356,1.9638755003840995,0.4651763677969127,0.9127711971824752,0.7333333333333333,1,0.7420158554356165,1.0000000000000002,1,6.716004417000022,10232,1.0162007821684298,0.1025303899504292,dynamic_penalty,0.5,2.0
14,20260714,RDHO,0.950228261039624,0.675228261039624,0.275,1.912728261039624,126.66125399147252,1.5816297875912253,1.92006027522404,0.4480399203486193,0.9207014183698624,0.725,1,0.879766156120084,1.0000000000000002,1,6.603432082999916,10232,0.9783791361621766,0.0281508751225526,dynamic_penalty,0.5,2.0
15,20260715,RDHO,0.9883949978856608,0.7133949978856606,0.275,1.950894997885661,89.42718538454426,1.6597931221900353,1.9248907383929024,0.4235270927560753,0.937862573941843,0.725,1,0.7901503844689002,1.0000000000000002,1,6.726171749999821,10232,1.056098929216886,0.0677039313312254,dynamic_penalty,0.5,2.0
16,20260716,RDHO,0.9463461995585436,0.654679532891877,0.2916666666666666,1.9671795328918769,71.56738636038145,1.6874712626789408,1.9666069103384292,0.4462393004286806,0.9440928775495592,0.7083333333333334,1,0.7812099563409473,1.0000000000000002,1,6.664317875000052,10232,0.9693460740662128,0.0229998745076692,dynamic_penalty,0.5,2.0
17,20260717,RDHO,1.082588419985255,0.7325884199852547,0.35,2.3075884199852545,111.22039523971657,1.9683285717285373,2.2829912646930195,0.4181377692447948,0.8990103583446848,0.65,1,0.8839164518747832,1.0,1,6.76521866600001,10232,1.1681677643166366,0.0855793443313819,dynamic_penalty,0.5,2.0
18,20260718,RDHO,0.8524915917553739,0.627491591755374,0.2249999999999999,1.6399915917553738,111.4378109479293,1.9383929442610792,2.290420155472122,0.4694955649047103,0.9265103647615186,0.775,1,0.8131145213398817,1.0000000000000002,1,6.6109037080000235,10232,0.8691000497997984,0.0166084580444244,dynamic_penalty,0.5,2.0
19,20260719,RDHO,0.9448081037981282,0.6864747704647949,0.2583333333333333,1.8489747704647947,107.7266886650083,1.7281397153850877,2.0247062087947727,0.463177826591796,0.8857746415400698,0.7416666666666667,1,0.8098258464079177,1.0,1,6.815892333999955,10232,0.9672550024147648,0.0224468986166367,dynamic_penalty,0.5,2.0
20,20260720,RDHO,0.84859368625173,0.59859368625173,0.25,1.72359368625173,79.25523953052368,1.721044158493524,2.046981074773071,0.4845577758312123,0.8968031809382422,0.75,1,0.828630395864285,1.0000000000000002,1,6.638853042000164,10232,0.8871168141282275,0.0385231278764974,dynamic_penalty,0.5,2.0
21,20260721,RDHO,0.9844383528189328,0.6927716861522663,0.2916666666666666,2.005271686152266,109.81919641623529,1.9508398519195085,2.3073502231781733,0.4257790870059018,0.9269516219467931,0.7083333333333334,1,0.8142866018217597,1.0,1,6.751939499999935,10232,1.0079801201055585,0.0235417672866256,dynamic_penalty,0.5,2.0
22,20260722,RDHO,0.7814770538170381,0.5564770538170382,0.2249999999999999,1.5689770538170382,103.4875111689604,1.4818342346494524,1.815791792300118,0.503548180417407,0.947722511580367,0.775,1,0.8348179373533192,1.0000000000000002,1,6.643064165999931,10232,0.8057777203880477,0.0243006665710096,dynamic_penalty,0.5,2.0
23,20260723,RDHO,0.7594677796344951,0.5678011129678284,0.1916666666666666,1.4303011129678285,78.2082696939279,2.022609775124846,2.4081121872632565,0.4976675678054981,0.9548206899775602,0.8083333333333333,1,0.7795050116517233,1.0000000000000002,1,6.5986959580000075,10232,0.983092665889694,0.223624886255199,dynamic_penalty,0.5,2.0
