run_id,seed,algorithm,fitness,energy,delay,aoi,qoe,fairness,csr,runtime,experiment,lambda0,alpha
20,20260720,RDHO,0.8593828919580927,105.30479079745297,1.4839324081429535,1.8183554044124193,0.33855436566696895,0.8938701071545431,0.775,4.375068899709731,dynamic_penalty,0.5,2.0
21,20260721,RDHO,0.9530603315703031,81.1140053912325,1.4657831056656403,1.799468387453554,0.33790073047634356,0.9016390598381232,0.7166666666666667,4.488840499892831,dynamic_penalty,0.5,2.0
22,20260722,RDHO,1.028372364606561,87.36423443928437,1.7458551397572166,2.0691159031767894,0.29687608320349546,0.9200400335176626,0.675,4.422857199795544,dynamic_penalty,0.5,2.0
23,20260723,RDHO,1.160209361261948,86.75905127649278,1.7765572142212,2.053864596149423,0.2968116334730114,0.8838825788844415,0.5916666666666667,4.445337599609047,dynamic_penalty,0.5,2.0
24,20260724,RDHO,0.8873584105945771,86.99570386437466,1.5660315072623054,1.8828029601717575,0.35765074071445946,0.8837059904089897,0.75,4.356368999928236,dynamic_penalty,0.5,2.0
25,20260725,RDHO,0.9627256599167988,122.58204972547911,1.4995681454308722,1.8078776180335325,0.33693151308726443,0.8972235325914303,0.7083333333333334,4.482949999626726,dynamic_penalty,0.5,2.0
26,20260726,RDHO,0.9906144722062654,92.8611930191509,1.4147012311815321,1.6830881299812042,0.321089677770198,0.8958331567934925,0.7083333333333334,4.394752699881792,dynamic_penalty,0.5,2.0
27,20260727,RDHO,1.0015950690224842,76.79922157297554,1.7804312994848928,2.1334671820682347,0.3167796585111519,0.9033366127531073,0.7083333333333334,4.38197400001809,dynamic_penalty,0.5,2.0
28,20260728,RDHO,0.9467644691546353,86.39330754517457,1.69318265770085,2.0022278907387197,0.32264377203169003,0.8854628131756055,0.7416666666666667,4.384497900027782,dynamic_penalty,0.5,2.0
29,20260729,RDHO,1.0910782207973888,79.99325570948707,1.3191422514626998,1.5494163862390165,0.31208580398786834,0.8742213965689851,0.625,4.428107699844986,dynamic_penalty,0.5,2.0
30,20260730,RDHO,0.8760054346582096,78.38449126460682,1.5523436144835787,1.8570790678157465,0.3452243043846226,0.9142297286591949,0.7416666666666667,4.409694300033152,dynamic_penalty,0.5,2.0
1,20260701,RDHO,1.0469202568771574,101.7721421991896,1.6517651616488174,1.9597067576810534,0.32316997591003926,0.9160989518036577,0.6583333333333333,4.429825100116432,dynamic_penalty,0.5,3.0
2,20260702,RDHO,1.1438881020789564,83.38901229376171,1.9845759320500662,2.3234574566015973,0.3066236809024806,0.8789248767305731,0.6416666666666667,4.365959600079805,dynamic_penalty,0.5,3.0
3,20260703,RDHO,0.8325582350792786,72.80048080635004,1.5297883060714752,1.8872562568272222,0.34956511082243,0.8986446972980536,0.7666666666666667,4.410590399987996,dynamic_penalty,0.5,3.0
4,20260704,RDHO,0.9822177785462435,76.13648880494245,1.6933594248168014,2.0159640891285204,0.3431065541802759,0.8943525120135557,0.6916666666666667,4.323889700230211,dynamic_penalty,0.5,3.0
5,20260705,RDHO,1.062268103982883,114.13932953246413,1.8517731183952026,2.172576169055163,0.2975181496924313,0.883475610363691,0.6833333333333333,4.70449970010668,dynamic_penalty,0.5,3.0
