run_id,seed,algorithm,fitness,energy,delay,aoi,qoe,fairness,csr,runtime,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
11,20260711,RDHO,1.143226967757422,90.70917550445222,1.820836089916154,2.132747981233203,0.3136352383827545,0.9091104542440838,0.625,4.8920244998298585,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
12,20260712,RDHO,0.9690567966065776,69.14453732858806,1.8462281858849448,2.2305407984911065,0.345756720358914,0.910187570342825,0.7333333333333333,4.712167600169778,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
13,20260713,RDHO,0.9324002292423952,53.96162613566695,1.4281721821458873,1.702966137300297,0.3463083567866586,0.9162406430074228,0.7083333333333334,4.7828890001401305,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
14,20260714,RDHO,0.941593096906746,62.1178990403852,1.6833276988562644,2.027766021219912,0.359026484118124,0.9032114874261216,0.7166666666666667,4.653814400080591,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
15,20260715,RDHO,0.9453561766687116,80.75769854153847,1.6979063121534008,2.0522588624523523,0.3351374001393379,0.907674808644238,0.75,5.184129500295967,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
16,20260716,RDHO,0.9992743974293684,95.947553046875,1.547752436541994,1.867959170013161,0.3176234051803649,0.9072377156703164,0.7166666666666667,5.714019500184804,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
17,20260717,RDHO,1.033322992986382,61.45483061067485,1.8374335187244728,2.1610208072792623,0.3228418884716292,0.9015241695157592,0.7,4.9714824999682605,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
18,20260718,RDHO,0.9578371782441828,88.5797996170248,1.5871201564805226,1.914920997759008,0.3312780514671365,0.90334804607633,0.725,5.427424699999392,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
19,20260719,RDHO,0.9725819914458064,69.02845335447435,1.6510382860506525,1.974418752571028,0.3392898451150584,0.8872131125777266,0.7166666666666667,4.850867799948901,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
20,20260720,RDHO,0.9048801153231392,101.36568151085254,1.5185090701054078,1.8529320663748736,0.3383528608191405,0.8937431799627348,0.775,5.289268400054425,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
21,20260721,RDHO,1.012915628369734,77.86138394495751,1.512816074095822,1.8465013558837355,0.334655032060258,0.8994632174848174,0.7166666666666667,5.33895740006119,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
22,20260722,RDHO,1.0798473091948655,76.6640064564154,1.7868269018972796,2.110087665316853,0.2995087457064407,0.9210324073650742,0.6666666666666666,4.829102399758995,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
23,20260723,RDHO,1.219226970619463,85.63430679699604,1.785724879426476,2.0630322613546985,0.2966926752525669,0.8839123777858632,0.5916666666666667,4.901705299969763,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
24,20260724,RDHO,0.9341276295833064,63.132707631807584,1.6685059153724828,1.985277368281935,0.3545096700978817,0.8769839259818251,0.7333333333333333,4.79487770004198,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
25,20260725,RDHO,1.0192394569343692,120.62400251299358,1.5139935747003834,1.822303047303044,0.3367337251323918,0.8974739559885924,0.7083333333333334,4.869630000088364,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
26,20260726,RDHO,1.0464887092589472,91.99154118331012,1.4245365584278642,1.6929234572275362,0.321041021016924,0.8959248944108803,0.7083333333333334,4.7312877997756,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
27,20260727,RDHO,1.0562345356951657,74.87403520288001,1.7966999495278029,2.149735832111144,0.3165529706264458,0.9028397282443203,0.7083333333333334,4.541729399934411,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
28,20260728,RDHO,0.9965022753368212,86.07794490659668,1.6991771821453276,2.0082224151831976,0.3226172561106774,0.8854671459047276,0.7416666666666667,4.6500209998339415,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
29,20260729,RDHO,1.1504562224906814,78.75158546360609,1.3366949549226042,1.566969089698921,0.3104799700433843,0.8730890736682605,0.625,4.678153899963945,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
30,20260730,RDHO,0.9109681282469518,78.19589660723307,1.5545957249581996,1.859331178290367,0.3451989805270513,0.914237712504808,0.7416666666666667,4.872459200210869,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
1,20260701,RDHO,1.1595174192847624,96.41760106097809,1.695553622040953,2.003495218073189,0.3229354870101841,0.9158249477295708,0.6583333333333333,5.091400899924338,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
2,20260702,RDHO,1.269115813492926,78.16383872618174,2.055543317720997,2.394424842272528,0.3060615132644393,0.8790317550098793,0.6416666666666667,4.7463588998653,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
3,20260703,RDHO,0.9111956615729048,69.54594611687864,1.563430048471253,1.9208979992270003,0.3492155307522983,0.8989547242687981,0.7666666666666667,4.676875100005418,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
4,20260704,RDHO,1.0787613110683671,72.68154753521551,1.7079246989435366,2.030529363255256,0.3411564236506763,0.8931688650000704,0.6916666666666667,4.7483124998398125,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
5,20260705,RDHO,1.1788438761705091,102.61874374393656,1.919831853447688,2.240634904107648,0.2967702422904363,0.8830715611645463,0.6833333333333333,4.711091900244355,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
6,20260706,RDHO,0.9809447652706484,85.31881312603007,1.467413343855178,1.769629185024757,0.3275751918135891,0.9176695120582546,0.7416666666666667,4.637545399833471,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
7,20260707,RDHO,1.0025761449185893,70.92386718380277,1.386762307817736,1.7057455273476705,0.3373470017594407,0.9205064664857728,0.725,4.866127099841833,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
8,20260708,RDHO,1.0674923917973644,66.91093384662567,1.671181482086936,1.960689606957284,0.3291749325893467,0.9013421997534335,0.6916666666666667,4.903610399924219,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
9,20260709,RDHO,1.28944392026642,114.5543698488215,1.9694057077187408,2.278582030817333,0.2779269644307902,0.8775930342188756,0.6166666666666667,4.803546200040728,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
10,20260710,RDHO,1.0428134933748434,76.20845780159121,1.983327404445561,2.356556038459685,0.3324861880535233,0.910190243636362,0.7166666666666667,4.860240200068802,objective_weight,S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15
