run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime
8,699801341,8,1,699801341,4077331001,Greedy-ED,0.9223286463215195,0.9223286463215195,0.5889953129881861,0.9223286463215195,1.0,1.0,0.33333333333333337,0.33333333333333337,0.5183950545085431,0.9149838447962889,0.9366777261533326,63.924559185408505,1.7145233799020765,2.0892922892307566,0.33425425771200323,0.9191340108408176,0.6666666666666666,360,15050,0.21101320022717118
9,702049432,9,1,702049432,1939979853,RDHO,1.1033808421683586,1.1033808421683586,0.761714175501692,3.836714175501692,9.0,1.0,3.075,0.3416666666666667,0.7212483683528592,1.294194374403754,1.2691354333640965,96.38933800863092,1.781917974769699,2.0831241659182904,0.30367474579731707,0.8740425445411603,0.6583333333333333,15011,15050,9.058031999971718
9,702049432,9,1,702049432,2096142147,RIME,1.4082893829593508,1.4082893829593508,0.9999560496260176,1.4082893829593508,1.0,1.0,0.4083333333333333,0.4083333333333333,0.8365280729138569,1.8541074256869965,1.8540088673083737,113.16680692690262,2.524852302610925,2.8260584937595157,0.26843923626127664,0.8293249582418638,0.5916666666666667,15050,15050,9.153287000022829
9,702049432,9,1,702049432,94970719,DBO,1.1633107917693084,1.1633107917693084,0.8216441251026416,1.1633107917693084,1.0,1.0,0.3416666666666667,0.3416666666666667,0.6672616081829931,1.5088823224098582,1.4472668411449043,91.1766309767822,2.090773985246186,2.3919801763947777,0.29602496087864566,0.8808983699824223,0.6583333333333333,15050,15050,9.063926300033927
9,702049432,9,1,702049432,2681544635,TLBO-HHO,1.1607355849191388,1.1607355849191388,0.7857355849191388,1.1607355849191388,1.0,1.0,0.375,0.375,0.7033370155553686,1.357411426398917,1.3336001632063503,92.0289870760674,1.909667282753281,2.2108734739018727,0.2920714944273012,0.8683153616337953,0.625,15050,15050,8.884362400043756
9,702049432,9,1,702049432,2510184549,CWTSSA,1.1378006888941914,1.1378006888941914,0.7794673555608581,1.1378006888941914,1.0,1.0,0.3583333333333333,0.3583333333333333,0.6682225580729522,1.3497287367285329,1.3520907793303627,88.75443572113319,1.93719893381398,2.238405124962571,0.2978864985089885,0.8766874795927606,0.6416666666666667,15050,15050,8.969650300219655
9,702049432,9,1,702049432,2410531236,GA,1.296047009093142,1.296047009093142,0.9210470090931421,1.296047009093142,1.0,1.0,0.375,0.375,0.7477531456857986,1.6780570104375616,1.6918376924893619,97.39077362980618,2.2179236023600586,2.5191297935086503,0.28577080920575887,0.8389974020871783,0.625,15050,15050,9.028656899929047
9,702049432,9,1,702049432,2655681868,PSO,1.5365863054021414,1.5365863054021414,1.0865863054021414,1.5365863054021414,1.0,1.0,0.44999999999999996,0.44999999999999996,0.6980722647109975,2.2557563715049844,2.112690399135706,90.52008724050758,3.531293695209443,3.832499886358035,0.277505754081655,0.8385985253479329,0.55,15050,15050,8.916594000067562
9,702049432,9,1,702049432,1604789221,DE,1.1343044882147186,1.1343044882147186,0.7759711548813852,1.1343044882147186,1.0,1.0,0.3583333333333333,0.3583333333333333,0.7513601886172094,1.321039388475238,1.2960382862843143,103.06180910380087,1.8168796773961382,2.1180858685447306,0.2999629680643524,0.8764227876930267,0.6416666666666667,15050,15050,9.06658129999414
9,702049432,9,1,702049432,4079579092,Greedy-ED,1.182350450966341,1.182350450966341,0.7823504509663409,1.182350450966341,1.0,1.0,0.4,0.4,0.7879682423316294,1.3341188350632056,1.2956717237301345,105.33093975762847,1.753315805865827,2.0545219970144184,0.3026452592701373,0.8777425622855074,0.6,360,15050,0.2022939999587834
