experiment,run_id,scenario_seed,method,reporting_fitness,base_objective,energy,delay,aoi,qoe,fairness,soft_csr,hard_feasible,capacity_utilisation,capacity_utilisation_max,assignment_unique,runtime_s,total_nfe,population_nfe,refinement_nfe,initial_nfe,candidate_nfe,final_reporting_nfe,generation_count,final_generation_candidate_count,reassignment_count,repair_failure_count,initial_population_hash,code_commit,search_fitness_not_reported
controlled_population_stage,8,20260708,RIME-population-controlled,1.6682615323785908,1.1182615323785907,122.09224798603984,4.071232537200781,4.391338037281903,0.3403774643516013,0.8367819478541516,0.45,1,0.8073698309492873,1.0000000000000002,1,3.092271416,3801,3801,0,50,3750,1,75,50,0,0,7a450af484045e03b8bf8b298501e80d5632de03764935e0915972b762a8ee9e,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,8,20260708,DBO-population-controlled,1.2173799395825773,0.7673799395825773,108.86977084290976,2.3145976336597824,2.634703133740905,0.3973081840274102,0.9276250829309979,0.55,1,0.8070107145830512,1.0000000000000002,1,3.071885167,3801,3801,0,50,3750,1,75,50,0,0,7a450af484045e03b8bf8b298501e80d5632de03764935e0915972b762a8ee9e,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,9,20260709,RDHO-population-controlled,1.2973203275504097,0.8973203275504097,80.31405531206416,2.765930857509165,3.110447100752163,0.4228092054569049,0.8936302354932731,0.6,1,0.8053634171407068,1.0000000000000002,1,3.167443917,3801,3801,0,50,3750,1,75,50,0,0,620626c3ded8dd50be97898f271eb949f2886383892d62347aaab2191b1d98d7,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,9,20260709,RIME-population-controlled,1.5410720998584524,1.0910720998584524,152.68733694856283,4.196794494450433,4.541310737693431,0.37601544528059944,0.8689173414192713,0.55,1,0.8300700448264056,1.0000000000000002,1,3.133073041,3801,3801,0,50,3750,1,75,50,0,0,620626c3ded8dd50be97898f271eb949f2886383892d62347aaab2191b1d98d7,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,9,20260709,DBO-population-controlled,1.253157918653324,0.9031579186533241,79.7918410318799,2.8649867562482147,3.2095029994912125,0.41824764611899573,0.9208554161525725,0.65,1,0.6279657964175931,1.0000000000000002,1,3.067590166,3801,3801,0,50,3750,1,75,50,0,0,620626c3ded8dd50be97898f271eb949f2886383892d62347aaab2191b1d98d7,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,10,20260710,RDHO-population-controlled,1.3799530660599701,0.9299530660599702,137.14675527542119,2.7012022636448156,2.983138923531235,0.3881511221271304,0.8770594468867444,0.55,1,0.9238930462488542,1.0000000000000002,1,3.188074833,3801,3801,0,50,3750,1,75,50,0,0,4067f6184b089d95b61a92a0418c0ef04305029975ff891679e2217faf2519d1,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,10,20260710,RIME-population-controlled,1.6683941137424645,1.1350607804091313,115.2180432381343,4.572440839369444,4.854377499255863,0.325558463403604,0.831725330048805,0.4666666666666667,1,0.7081122303676387,1.0000000000000002,1,3.22219175,3801,3801,0,50,3750,1,75,50,0,0,4067f6184b089d95b61a92a0418c0ef04305029975ff891679e2217faf2519d1,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,10,20260710,DBO-population-controlled,1.3361808587521824,0.902847525418849,107.98071608950457,2.5575599945124816,2.8394966543989013,0.375711969565012,0.8810019722610971,0.5666666666666667,1,0.6339167810144551,1.0,1,3.123067542,3801,3801,0,50,3750,1,75,50,0,0,4067f6184b089d95b61a92a0418c0ef04305029975ff891679e2217faf2519d1,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,11,20260711,RDHO-population-controlled,1.2924102200601566,0.9257435533934898,93.66921226535376,2.7433919323146085,3.080802851936874,0.4559328414163485,0.8989452648824415,0.6333333333333333,1,0.7366455495905739,1.0,1,3.019076334,3801,3801,0,50,3750,1,75,50,0,0,6ee2d2f6445b72562026fee7c9a32469fc22191ec662dcd37f86e82bee8681f8,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
controlled_population_stage,11,20260711,RIME-population-controlled,1.482451125525731,1.057451125525731,115.16244578128408,3.943850083207033,4.281261002829299,0.3943672387842671,0.8929291873889568,0.575,1,0.8413185134205701,1.0000000000000002,1,3.0224224580000003,3801,3801,0,50,3750,1,75,50,0,0,6ee2d2f6445b72562026fee7c9a32469fc22191ec662dcd37f86e82bee8681f8,cf499f2d1a0f37859cc045cf3c902815b81927f1,True
