task_number,run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime
60,6,695305159,6,1,695305159,1933235580,RDHO,0.9897842560795442,0.9897842560795442,0.6786731449684331,3.478673144968433,9.0,1.0,2.8,0.3111111111111111,0.5613516948458971,1.1589576409995856,1.149032759773397,118.7325506841455,1.790120356543486,2.1186911537921076,0.3243898857937008,0.9123293436585731,0.6888888888888889,14991,15050,11.04311710037291
60,7,697553250,7,1,697553250,1935483671,RDHO,0.9456969577887332,0.9456969577887332,0.6512525133442888,3.3012525133442883,9.0,1.0,2.6499999999999995,0.2944444444444444,0.5918358962618734,1.0562761802058058,1.0898719364874931,89.23577521786753,1.4795740739253211,1.7684863035732081,0.33906892670783584,0.9166858149856106,0.7055555555555556,14991,15050,11.161056499928236
60,8,699801341,8,1,699801341,1937731762,RDHO,0.9365738488102788,0.9365738488102788,0.6643516265880566,3.1143516265880566,9.0,1.0,2.45,0.27222222222222225,0.5639545489122327,1.126240856226517,1.0844164180473734,96.95009328073098,1.7674798048423666,2.0908347263632385,0.33685163382214456,0.8873922373467775,0.7277777777777777,14991,15050,11.079007199965417
60,9,702049432,9,1,702049432,1939979853,RDHO,1.0357017974911493,1.0357017974911493,0.6968129086022604,3.746812908602261,9.0,1.0,3.0500000000000003,0.3388888888888889,0.7132406873725858,1.1200068287209646,1.1286427223909312,127.20499966670855,1.629192750534848,1.9526765582303791,0.32310307961135715,0.8925079735484763,0.6611111111111111,14991,15050,11.228324400261045
60,10,3782276182,10,1,3782276182,2742404085,RDHO,1.0009627551258138,1.0009627551258138,0.6954071995702582,3.4454071995702584,9.0,1.0,2.75,0.3055555555555556,0.6630471131918284,1.1560178401044048,1.1369183791711732,114.46696319197473,1.6645727172676594,1.9760378665602076,0.3133133654383741,0.9060315115952714,0.6944444444444444,14991,15050,10.977266099769622
80,1,684064704,1,1,684064704,1921995125,RDHO,1.0181179556417699,1.0181179556417699,0.7056179556417699,3.51811795564177,9.0,1.0,2.8125,0.3125,0.6388703020126405,1.1418221737094747,1.1968134427916592,146.1941210252159,1.9588084680866877,2.286281061508229,0.32139237426609435,0.8820020428334228,0.6875,14971,15050,14.502609400078654
80,2,686312795,2,1,686312795,1924243216,RDHO,0.9088208065129841,0.9088208065129841,0.6588208065129841,2.908820806512984,9.0,1.0,2.25,0.25,0.48790745834727745,1.084428604982649,1.1665340257752648,107.99511169568441,1.6233381108138478,1.9432996198182224,0.3406064021666403,0.9007392303995914,0.75,14971,15050,14.543328700121492
80,3,688560886,3,1,688560886,1926491307,RDHO,1.0344198204837407,1.0344198204837407,0.7135864871504075,3.601086487150407,9.0,1.0,2.8874999999999997,0.3208333333333333,0.577027253117675,1.2724306448483724,1.200281809763659,137.7222241159283,2.2888586774739914,2.6441510550839253,0.3134271790234334,0.9021270589654921,0.6791666666666667,14971,15050,14.621979600284249
80,4,690808977,4,1,690808977,1928739398,RDHO,0.976517830757412,0.976517830757412,0.6681844974240787,3.4431844974240793,9.0,1.0,2.7750000000000004,0.30833333333333335,0.664302119915867,1.098071864091029,1.0626762888718426,159.7625502236707,1.8214405375554108,2.1506818281469102,0.3205685244273213,0.9142589073779758,0.6916666666666667,14971,15050,14.62461519986391
80,5,693057068,5,1,693057068,1930987489,RDHO,0.8883833528670582,0.8883833528670582,0.6342166862003915,2.921716686200391,9.0,1.0,2.2874999999999996,0.25416666666666665,0.5305809489045297,1.0310923403830932,1.0563549469691584,135.4250740426813,1.8072344446277544,2.1709839582379233,0.3377558392883239,0.9074653470580103,0.7458333333333333,14971,15050,14.698305799625814
80,6,695305159,6,1,695305159,1933235580,RDHO,1.0484830638516018,1.0484830638516018,0.7318163971849352,3.5818163971849346,9.0,1.0,2.8499999999999996,0.31666666666666665,0.6948197526584814,1.20329870811299,1.2287079958246894,155.76511217064726,1.9963614640408516,2.3063006347590873,0.3161176429545307,0.8784542414283631,0.6833333333333333,14971,15050,14.214702900033444
80,7,697553250,7,1,697553250,1935483671,RDHO,0.8196660559177866,0.8196660559177866,0.5779993892511199,2.75299938925112,9.0,1.0,2.1750000000000003,0.2416666666666667,0.5554699352833584,0.8566437347020559,0.924759727049382,128.37798180781678,1.436546874722955,1.744389576424934,0.3636778477367966,0.9114005788894782,0.7583333333333333,14971,15050,15.489420900121331
80,8,699801341,8,1,699801341,1937731762,RDHO,0.9852295322008882,0.9852295322008882,0.6810628655342215,3.4185628655342217,9.0,1.0,2.7375000000000003,0.3041666666666667,0.5219407716347293,1.1376201555007626,1.205738937128806,125.88553185896149,1.800666955881444,2.1334025771115974,0.3195109977702311,0.9165652460772227,0.6958333333333333,14971,15050,15.200128300115466
80,9,702049432,9,1,702049432,1939979853,RDHO,1.0000922198376117,1.0000922198376117,0.7000922198376116,3.400092219837612,9.0,1.0,2.7,0.30000000000000004,0.6241670159100595,1.1392582472776591,1.216171038523448,150.3916652389771,1.6898700050675832,1.9859440214075659,0.32248242133563465,0.9081406880453082,0.7,14971,15050,16.880909299943596
80,10,3782276182,10,1,3782276182,2742404085,RDHO,1.0068437381083952,1.0068437381083952,0.6901770714417285,3.540177071441728,9.0,1.0,2.8499999999999996,0.31666666666666665,0.5830925618728504,1.13061315459626,1.18295225973014,138.41973794754423,1.8115758032249318,2.11952691275829,0.3206084966632344,0.8932684552354302,0.6833333333333333,14971,15050,14.71734380023554
100,1,684064704,1,1,684064704,1921995125,RDHO,1.067943060676714,1.067943060676714,0.737943060676714,3.7079430606767136,9.0,1.0,2.9699999999999998,0.32999999999999996,0.579231132622781,1.2674202818386704,1.3064381952260355,181.40845974710928,1.9556584517642397,2.266935103326835,0.31694152186793123,0.8844276402829122,0.67,14951,15050,21.293440899811685
100,2,686312795,2,1,686312795,1924243216,RDHO,0.9500890368675904,0.9500890368675904,0.6800890368675904,3.1100890368675906,9.0,1.0,2.43,0.27,0.5879566290694761,1.0622528774432378,1.2013353164955098,187.20946292882013,1.750074472224087,2.0670229193611585,0.32606954981005226,0.9047682598236224,0.73,14951,15050,18.5740323998034
100,3,688560886,3,1,688560886,1926491307,RDHO,1.0083442368500393,1.0083442368500393,0.6883442368500393,3.568344236850039,9.0,1.0,2.8799999999999994,0.31999999999999995,0.5705445677835592,1.1945296838155155,1.1568988354453718,178.48067970883045,2.052975840693779,2.3771574483136155,0.32469876711984164,0.9064879047957434,0.68,14951,15050,17.976660499814898
100,4,690808977,4,1,690808977,1928739398,RDHO,1.0583139457421193,1.0583139457421193,0.7549806124087859,3.484980612408786,9.0,1.0,2.73,0.30333333333333334,0.5720134936120413,1.3632614315545788,1.3255197261533143,179.7849602516031,1.9752271756526283,2.3152668174571325,0.3155427490210818,0.8861155373663981,0.6966666666666667,14951,15050,20.00019789999351
100,5,693057068,5,1,693057068,1930987489,RDHO,0.9024018605220467,0.9024018605220467,0.6424018605220467,2.982401860522047,9.0,1.0,2.34,0.26,0.46633089664173466,1.0928513233956452,1.0874641163249008,141.9627164757289,1.886124832850105,2.26765390107062,0.3385137251605979,0.8973594578335637,0.74,14951,15050,18.193657599855214
100,6,695305159,6,1,695305159,1933235580,RDHO,0.9821791238176816,0.9821791238176816,0.6921791238176815,3.302179123817682,9.0,1.0,2.6100000000000003,0.29000000000000004,0.6242388017577057,1.1068372509186326,1.1863998030671552,181.88830276794303,1.7191454178664083,2.0329280769919795,0.3260856296436434,0.8929633491451574,0.71,14951,15050,17.909860500134528
100,7,697553250,7,1,697553250,1935483671,RDHO,0.9780679965338318,0.9780679965338318,0.6814013298671652,3.351401329867165,9.0,1.0,2.67,0.29666666666666663,0.5794176260230512,1.1982372332346096,1.1181828030216234,167.86656821592078,1.6653350346902633,1.96910184219917,0.33786546245578836,0.8976683760474465,0.7033333333333334,14951,15050,24.000371399801224
100,8,699801341,8,1,699801341,1937731762,RDHO,0.9360335417443565,0.9360335417443565,0.6527002084110232,3.2027002084110228,9.0,1.0,2.55,0.2833333333333333,0.4306913255104077,1.144759416820297,1.1558514482641362,134.26868172969202,1.7942145062112929,2.122422247917054,0.33656165048231546,0.922589119883324,0.7166666666666667,14951,15050,17.981184999924153
100,9,702049432,9,1,702049432,1939979853,RDHO,1.0133849856667427,1.0133849856667427,0.7000516523334095,3.52005165233341,9.0,1.0,2.8200000000000003,0.31333333333333335,0.6097694026766208,1.2211251060020696,1.160679201909876,194.24508881211162,1.887111444764837,2.2053713991581647,0.31961390985462396,0.9072595475468528,0.6866666666666666,14951,15050,20.14939309982583
