run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,lambda0,alpha
15,20260715,RDHO,0.8867027328732427,0.6367027328732427,0.25,1.7617027328732426,88.44274735057618,1.6461393015395434,2.0004918518384947,0.335545058821274,0.9502934768861909,0.75,4.220847914999922,9112,0.9046896101632123,0.017986877289969505,dynamic_penalty,0.5,2.0
16,20260716,RDHO,0.9249122615164584,0.6499122615164584,0.275,1.8874122615164586,99.37547849400289,1.49799631678891,1.8182030502600774,0.31770089656706535,0.9559097940424058,0.725,4.188087494000229,9112,0.9429631701437675,0.01805090862730907,dynamic_penalty,0.5,2.0
17,20260717,RDHO,0.963660712894456,0.6719940462277894,0.29166666666666663,1.9844940462277891,64.63052906558401,1.8051497507212715,2.1287370392760616,0.32295648619001616,0.9443084204453671,0.7083333333333334,4.225537380000333,9112,0.9664526064481542,0.0027918935536982437,dynamic_penalty,0.5,2.0
18,20260718,RDHO,0.8920358515113997,0.6170358515113997,0.275,1.8545358515113999,91.6346796595531,1.5530722627118594,1.8808731039903446,0.3336332109920612,0.9618691252409705,0.725,4.230877018999763,9112,0.9000728847911245,0.008037033279724715,dynamic_penalty,0.5,2.0
19,20260719,RDHO,0.9232024823453554,0.6398691490120221,0.2833333333333333,1.914869149012022,70.35917579634958,1.6291222330812694,1.9525026996016455,0.3386852701038736,0.9119805875453311,0.7166666666666667,4.496094447999894,9112,0.9412522737781668,0.01804979143281138,dynamic_penalty,0.5,2.0
20,20260720,RDHO,0.8519798631351291,0.6269798631351291,0.22499999999999998,1.639479863135129,107.09749489506055,1.4602497359268818,1.7946727321963476,0.3382529793631216,0.9039797552192839,0.775,4.194949926999925,9112,0.8642857423335049,0.01230587919837578,dynamic_penalty,0.5,2.0
21,20260721,RDHO,0.9281887909040373,0.6531887909040373,0.275,1.8906887909040373,82.59417522936903,1.4486638325570453,1.7823491143449588,0.3363885028802068,0.9608030971883609,0.725,4.20327060200043,9112,0.9588761777431617,0.03068738683912442,dynamic_penalty,0.5,2.0
22,20260722,RDHO,1.014150122325955,0.6974834556592883,0.31666666666666665,2.122483455659288,86.44091156504764,1.7332856656912525,2.0565464291108255,0.29671531480213253,0.9359097788370564,0.6833333333333333,4.442747682999652,9112,1.032146978984863,0.017996856658907934,dynamic_penalty,0.5,2.0
23,20260723,RDHO,1.1319737776323477,0.7319737776323478,0.4,2.5319737776323477,87.96931821528604,1.754179118480781,2.031486500409004,0.2965567243362357,0.9491273446597457,0.6,4.418712864000099,9112,1.1476161944330283,0.01564241680068057,dynamic_penalty,0.5,2.0
24,20260724,RDHO,0.8712830062693224,0.6212830062693224,0.25,1.7462830062693224,88.39656699327415,1.5196514805397858,1.836422933449238,0.35642513446239643,0.9265102910104738,0.75,4.281369602999803,9112,0.8991635912515344,0.02788058498221202,dynamic_penalty,0.5,2.0
25,20260725,RDHO,0.9469804852028098,0.6553138185361431,0.29166666666666663,1.967813818536143,121.28656096817957,1.4941760642553006,1.8024855368579609,0.33670092242831684,0.9488089463962225,0.7083333333333334,4.280636699999832,9112,0.9695378336385725,0.022557348435762736,dynamic_penalty,0.5,2.0
26,20260726,RDHO,0.9823342828174669,0.6906676161508003,0.29166666666666663,2.0031676161508,91.84373735675445,1.4093017997981279,1.6776886985977995,0.32048384022293597,0.9176737911636997,0.7083333333333334,4.509025378999922,9112,1.0067325614304472,0.024398278612980273,dynamic_penalty,0.5,2.0
27,20260727,RDHO,0.9777115566081043,0.7027115566081042,0.275,1.9402115566081042,76.54133151227586,1.7720629519665003,2.125098834549842,0.31599369361034946,0.9096587968024149,0.725,4.6391643629999635,9112,0.990447274080889,0.01273571747278468,dynamic_penalty,0.5,2.0
28,20260728,RDHO,0.9203625717310518,0.6786959050643852,0.2416666666666667,1.7661959050643854,79.20724792334033,1.781757957285425,2.090803190323295,0.3220402568363233,0.9392576018538422,0.7583333333333333,4.359039226000277,9112,0.9523850825229472,0.03202251079189533,dynamic_penalty,0.5,2.0
29,20260729,RDHO,1.0813622534197722,0.7063622534197723,0.375,2.393862253419772,80.75428449027558,1.3076567861850161,1.537930920961333,0.31205960389734333,0.9074654318215872,0.625,4.281248448000042,9112,1.096353651522273,0.01499139810250072,dynamic_penalty,0.5,2.0
