run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain
8,20260708,RDHO-core,1.4716165828760857,1.0549499162094191,0.41666666666666663,4.804949916209418,136.7323418958092,2.8894043822259476,3.2095098823070707,0.3909378157905648,0.9235416307951588,0.5833333333333334,1,0.8804699317297275,1.0,1,3.1385929579999896,3801,1.4716165828760857,0.0
8,20260708,RIME,1.8254875246959268,1.2504875246959268,0.575,1.8254875246959268,122.82102193030045,4.80004595699288,5.120151457074003,0.30676417913157966,0.7904126955264307,0.425,1,0.8565780052174495,1.0000000000000002,1,3.084469458000001,3801,1.8254875246959268,0.0
8,20260708,DBO,1.2558563101225122,0.847522976789179,0.4083333333333333,1.2558563101225122,60.421633351622944,2.7881904460454363,3.108295946126559,0.4040117654024246,0.9323012589603347,0.5916666666666667,1,0.6603295034903794,1.0000000000000002,1,2.939295874999999,3801,1.2558563101225122,0.0
8,20260708,TLBO-HHO,1.2814117324912817,0.8397450658246151,0.44166666666666665,1.2814117324912817,71.35710855284282,2.6556131538206245,2.9757186539017466,0.405124242065098,0.9283038155209317,0.5583333333333333,1,0.6162823196404057,1.0000000000000002,1,2.963935292000002,3801,1.2814117324912817,0.0
8,20260708,CWTSSA,1.410405450727033,0.9437387840603664,0.4666666666666667,1.410405450727033,41.0549456993271,3.568425209654334,3.888530709735457,0.3864193539427677,0.9311080378181417,0.5333333333333333,1,0.5312615901901234,1.0000000000000002,1,2.9036838330000023,3801,1.410405450727033,0.0
9,20260709,RDHO-core,1.4437975062139423,1.010464172880609,0.43333333333333335,4.9104641728806095,111.08399966775816,3.321363834306036,3.6658800775490334,0.39569251411102485,0.9329423452689362,0.5666666666666667,1,0.805732195564957,1.0000000000000002,1,3.097804792000005,3801,1.4437975062139423,0.0
9,20260709,RIME,1.5766952319624217,1.1683618986290885,0.4083333333333333,1.5766952319624217,113.80860129583341,5.354681768764316,5.699198012007313,0.3757442094528451,0.8309221481098272,0.5916666666666667,1,0.7497343969297288,1.0,1,3.0575781670000026,3801,1.5766952319624217,0.0
9,20260709,DBO,1.2283696250851976,0.8200362917518642,0.4083333333333333,1.2283696250851976,86.94702131259257,2.3110080419856684,2.6555242852286662,0.4151648498661825,0.9287922513737185,0.5916666666666667,1,0.6444740676155639,1.0000000000000002,1,3.037958582999991,3801,1.2283696250851976,0.0
9,20260709,TLBO-HHO,1.1751125424499942,0.8251125424499943,0.35,1.1751125424499942,48.06488150556143,2.62889110195,2.9734073451929977,0.42653116173535566,0.9286417772971705,0.65,1,0.4823047288952246,1.0000000000000002,1,2.9302790409999773,3801,1.1751125424499942,0.0
9,20260709,CWTSSA,1.2442458645843142,0.8442458645843143,0.4,1.2442458645843142,82.80372399814271,2.8171041908952654,3.1616204341382628,0.4186064015888428,0.925284012764916,0.6,1,0.6680592008387103,1.0,1,2.9592607919999807,3801,1.2442458645843142,0.0
10,20260710,RDHO-core,1.485406114308365,1.0437394476416983,0.44166666666666665,5.018739447641698,132.01216834398718,3.2906380448157178,3.572574704702137,0.3743215623181166,0.8935766849441152,0.5583333333333333,1,0.8372119096827996,1.0000000000000002,1,3.0919301250000046,3801,1.485406114308365,0.0
10,20260710,RIME,1.6350536662416315,1.118386999574965,0.5166666666666666,1.6350536662416315,139.67633752305534,3.4707009070369503,3.75263756692337,0.3370279926943206,0.8410374299562956,0.48333333333333334,1,0.8540713339228643,1.0000000000000002,1,3.0930190840000193,3801,1.6350536662416315,0.0
10,20260710,DBO,1.3186546241352293,0.8603212908018958,0.45833333333333337,1.3186546241352293,140.8925208528775,2.1627458636560233,2.444682523542443,0.3895165965334639,0.8962716520121442,0.5416666666666666,1,0.7772131322180347,1.0000000000000002,1,3.0283791249999865,3801,1.3186546241352293,0.0
10,20260710,TLBO-HHO,1.3433518084799356,0.9100184751466024,0.43333333333333335,1.3433518084799356,60.02474537691578,2.7798987389364287,3.061835398822848,0.3781979370529414,0.8780207339367981,0.5666666666666667,1,0.601609740281223,0.9723316220294264,1,2.9569740830000057,3801,1.3433518084799356,0.0
10,20260710,CWTSSA,1.3814914116867172,0.9148247450200506,0.4666666666666667,1.3814914116867172,41.92029818515985,2.990846195208995,3.2727828550954143,0.3873891067597603,0.8997099100462675,0.5333333333333333,1,0.4323544179580801,1.0000000000000002,1,2.985237792000021,3801,1.3814914116867172,0.0
11,20260711,RDHO-core,1.141054746520772,0.7827214131874388,0.3583333333333333,4.007721413187438,105.80939434761888,2.3363036570918165,2.673714576714083,0.4487365002773257,0.9177030042759574,0.6416666666666667,1,0.8746971060107531,1.0000000000000002,1,3.0455970840000077,3801,1.141054746520772,0.0
11,20260711,RIME,1.3031206947379121,0.9031206947379121,0.4,1.3031206947379121,83.79824848287232,2.7954671190708336,3.1328780386930997,0.4220767807540527,0.8628967595586277,0.6,1,0.8263599665134743,1.0000000000000002,1,3.023963041000002,3801,1.3031206947379121,0.0
11,20260711,DBO,0.930285649517656,0.6636189828509893,0.2666666666666667,0.930285649517656,49.86413486551356,2.201014622185281,2.538425541807547,0.4796596722682664,0.9366798000929235,0.7333333333333333,1,0.7021307086185028,1.0,1,2.941702625000005,3801,0.930285649517656,0.0
11,20260711,TLBO-HHO,0.9156436869928389,0.6406436869928389,0.275,0.9156436869928389,34.21932674708957,2.1016822973693876,2.4390932169916537,0.4884523712157756,0.9147462924028291,0.725,1,0.5687354179597987,1.0,1,2.8098477080000066,3801,0.9156436869928389,0.0
11,20260711,CWTSSA,0.950870417208063,0.6675370838747297,0.2833333333333333,0.950870417208063,55.0739900815699,2.1118512537871035,2.4492621734093696,0.4807029931970536,0.9304965684724954,0.7166666666666667,1,0.5921311958135561,1.0,1,2.8607154999999977,3801,0.950870417208063,0.0
12,20260712,RDHO-core,1.7826367336132378,1.2743034002799045,0.5083333333333333,5.849303400279904,181.1464804282353,3.2961367045616123,3.5697724205522077,0.33694451828483907,0.923990831427086,0.49166666666666664,1,0.9017420695931413,1.0000000000000002,1,3.0661072499999875,3801,1.7826367336132378,0.0
12,20260712,RIME,1.8922081097034518,1.292208109703452,0.6,1.8922081097034518,159.59130329006575,3.888791748168373,4.162427464158968,0.3111012069520142,0.879608957478835,0.4,1,0.8481778839384014,1.0000000000000002,1,3.0855664580000166,3801,1.8922081097034518,0.0
12,20260712,DBO,1.6433315852326824,1.0933315852326824,0.55,1.6433315852326824,93.7478033960472,3.68502308278429,3.9586587987748856,0.335035450628239,0.912180127024613,0.45,1,0.6387989918524718,1.0000000000000002,1,3.0272814999999866,3801,1.6433315852326824,0.0
12,20260712,TLBO-HHO,1.6925753693608812,1.1592420360275477,0.5333333333333333,1.6925753693608812,95.12030701506943,3.1951811007865176,3.468816816777113,0.32779894929323455,0.9083686945122353,0.4666666666666667,1,0.5655465109513137,1.0,1,2.9866212080000025,3801,1.6925753693608812,0.0
12,20260712,CWTSSA,1.740344278090056,1.1986776114233892,0.5416666666666667,1.740344278090056,38.20107363923312,3.922764878316479,4.196400594307074,0.341528690986662,0.9458728980269799,0.4583333333333333,1,0.5004600281415924,1.0000000000000002,1,2.928673707999991,3801,1.740344278090056,0.0
13,20260713,RDHO-core,1.2884161506475054,0.8967494839808386,0.3916666666666667,4.421749483980839,105.56576582681875,2.229954254090078,2.544009415651042,0.4134580449239825,0.9195833457262436,0.6083333333333333,1,0.8806049316935523,1.0,1,3.122868082999986,3801,1.2884161506475054,0.0
13,20260713,RIME,1.6580728641140121,1.1747395307806787,0.4833333333333333,1.6580728641140121,103.3803832324329,4.237665214860041,4.551720376421005,0.35896704260399576,0.755713244542806,0.5166666666666667,1,0.8060207405942487,1.0,1,3.0677499169999862,3801,1.6580728641140121,0.0
13,20260713,DBO,1.1112716743138886,0.7862716743138887,0.32499999999999996,1.1112716743138886,53.46322676036936,2.328114197917682,2.642169359478646,0.4406882540583389,0.9324892439333998,0.675,1,0.6459890464459173,1.0,1,3.0266327080000224,3801,1.1112716743138886,0.0
13,20260713,TLBO-HHO,1.080396391302188,0.7387297246355213,0.3416666666666667,1.080396391302188,53.122090008600225,1.8631361033370115,2.1771912648979757,0.43975342259096767,0.9077334507340965,0.6583333333333333,1,0.6631520509461135,1.0,1,2.9165353329999846,3801,1.080396391302188,0.0
13,20260713,CWTSSA,1.1815199224240327,0.789853255757366,0.3916666666666667,1.1815199224240327,39.54806539458419,2.541393075413295,2.855448236974259,0.42981877635687793,0.9067753223746138,0.6083333333333333,1,0.5639347952185222,1.0000000000000002,1,2.913514875000004,3801,1.1815199224240327,0.0
14,20260714,RDHO-core,1.5531094039175015,1.0614427372508348,0.4916666666666667,5.486442737250836,159.08904173241515,3.673480830907149,4.011911318539964,0.3810660587198677,0.8578539224797116,0.5083333333333333,1,0.9270001389980955,1.0000000000000002,1,3.0384133750000046,3801,1.5531094039175015,0.0
14,20260714,RIME,1.54285001630635,1.0845166829730166,0.45833333333333337,1.54285001630635,145.82331086641815,3.595392008457933,3.933822496090748,0.3687467313841173,0.8551479084462873,0.5416666666666666,1,0.8369185963355394,1.0000000000000002,1,3.05723254199998,3801,1.54285001630635,0.0
14,20260714,DBO,1.1807246140800198,0.7973912807466866,0.3833333333333333,1.1807246140800198,82.05698272679476,2.681763916475311,3.0201944041081257,0.4092951376859244,0.8901326185984365,0.6166666666666667,1,0.6635080042471863,1.0000000000000002,1,2.9367145420000043,3801,1.1807246140800198,0.0
14,20260714,TLBO-HHO,1.2419376426562556,0.8669376426562556,0.375,1.2419376426562556,52.51674632028738,2.7946669904456103,3.133097478078425,0.40616011865692386,0.8990130079609295,0.625,1,0.4840786373902386,1.0,1,2.9293487500000026,3801,1.2419376426562556,0.0
14,20260714,CWTSSA,1.4542258361038698,1.0042258361038698,0.44999999999999996,1.4542258361038698,55.90209758725723,3.46794998672094,3.8063804743537544,0.3813186341511224,0.8829503464884824,0.55,1,0.5601518054275958,1.0,1,2.919048208999982,3801,1.4542258361038698,0.0
15,20260715,RDHO-core,1.3998893693232257,0.9915560359898925,0.4083333333333333,4.666556035989892,116.35757256102204,2.238878077859009,2.503975694061876,0.3807089600628056,0.9254952793907989,0.5916666666666667,1,0.8832925330599882,1.0000000000000002,1,3.0775088750000066,3801,1.3998893693232257,0.0
15,20260715,RIME,1.6220555461261021,1.147055546126102,0.475,1.6220555461261021,99.86571467650629,3.5090687853626035,3.774166401565471,0.33032051200136636,0.902431878552922,0.525,1,0.833673104730998,1.0,1,3.0942624169999817,3801,1.6220555461261021,0.0
15,20260715,DBO,1.2648487092661238,0.873182042599457,0.3916666666666667,1.2648487092661238,79.41415073460699,2.084944988014125,2.3500426042169926,0.40281712257726493,0.9346159355729073,0.6083333333333333,1,0.6541422457152941,1.0,1,3.0439979999999878,3801,1.2648487092661238,0.0
15,20260715,TLBO-HHO,1.1873489260711445,0.8040155927378112,0.3833333333333333,1.1873489260711445,48.23161504260359,2.076492301817024,2.3415899180198907,0.39085629318232584,0.9218883870518032,0.6166666666666667,1,0.5888387672692997,1.0000000000000002,1,2.925843541000006,3801,1.1873489260711445,0.0
15,20260715,CWTSSA,1.4193661540474123,0.9276994873807456,0.4916666666666667,1.4193661540474123,37.32441342166301,2.458843561241718,2.7239411774445847,0.3806624179048542,0.9247456238793694,0.5083333333333333,1,0.5601947904124434,1.0000000000000002,1,2.9336107499999855,3801,1.4193661540474123,0.0
16,20260716,RDHO-core,1.3036327949642228,0.8702994616308893,0.43333333333333335,4.77029946163089,71.91283926434559,2.7740529689393454,3.053188616598834,0.3884840753150651,0.9069175222106137,0.5666666666666667,1,0.6723215854534648,1.0000000000000002,1,3.057523625000016,3801,1.3036327949642228,0.0
16,20260716,RIME,1.4278058216232483,0.9611391549565816,0.4666666666666667,1.4278058216232483,103.14169638284207,2.7443551950143172,3.0234908426738056,0.3692132172272603,0.9121355239941537,0.5333333333333333,1,0.7900340488061638,1.0000000000000002,1,3.0397548329999893,3801,1.4278058216232483,0.0
16,20260716,DBO,1.2033372602525914,0.8200039269192582,0.3833333333333333,1.2033372602525914,53.267859430792186,2.4514367919524394,2.7305724396119277,0.41611249469833583,0.9155623118920784,0.6166666666666667,1,0.670232866055003,1.0000000000000002,1,2.996828124999979,3801,1.2033372602525914,0.0
16,20260716,TLBO-HHO,1.1625353437094361,0.787535343709436,0.375,1.1625353437094361,60.91665732575805,2.231615961035898,2.5107516086953865,0.4086253652212163,0.9288981733788627,0.625,1,0.5745887784596773,1.0000000000000002,1,2.964201457999991,3801,1.1625353437094361,0.0
16,20260716,CWTSSA,1.3222702130557584,0.8889368797224252,0.43333333333333335,1.3222702130557584,43.7757642530681,2.9047754725105945,3.183911120170083,0.3967474048823532,0.9388687761589494,0.5666666666666667,1,0.5862659008443444,1.0000000000000002,1,3.201512207999997,3801,1.3222702130557584,0.0
17,20260717,RDHO-core,1.5584000639620421,1.0667333972953754,0.4916666666666667,5.491733397295376,180.32462250961748,2.985546902449677,3.3002095954141595,0.3638748157189534,0.8605392301831276,0.5083333333333333,1,0.9300434407853516,1.0000000000000002,1,3.380134459000004,3801,1.5584000639620421,0.0
17,20260717,RIME,1.8501714152934643,1.2835047486267976,0.5666666666666667,1.8501714152934643,148.87696900578302,3.9769195135149276,4.29158220647941,0.3137672206546334,0.7670076367596677,0.43333333333333335,1,0.8616425897716172,1.0000000000000002,1,3.4295234160000234,3801,1.8501714152934643,0.0
17,20260717,DBO,1.4930982769313967,0.9680982769313968,0.525,1.4930982769313967,82.23458567802525,2.720649106005137,3.03531179896962,0.3597563390411774,0.8468126342513841,0.475,1,0.6538011449893223,1.0000000000000002,1,3.359756417,3801,1.4930982769313967,0.0
17,20260717,TLBO-HHO,1.3443494638939555,0.8693494638939555,0.475,1.3443494638939555,56.31950942586971,2.712328248283663,3.026990941248145,0.3926090092285756,0.8860138302440368,0.525,1,0.6387170058464559,1.0,1,3.279200708000019,3801,1.3443494638939555,0.0
17,20260717,CWTSSA,1.5863145767162339,1.0446479100495671,0.5416666666666667,1.5863145767162339,38.424043879816864,4.035003781437117,4.349666474401599,0.3614276213461998,0.9335970250482435,0.4583333333333333,1,0.5457763021276509,1.0,1,3.217699374999995,3801,1.5863145767162339,0.0
18,20260718,RDHO-core,1.2661938601607838,0.8828605268274506,0.3833333333333333,4.33286052682745,147.7484777896381,2.9201750177982073,3.272202229009251,0.4310556986363199,0.9073903568482488,0.6166666666666667,1,0.7886934653758668,1.0,1,3.4004038330000412,3801,1.2661938601607838,0.0
18,20260718,RIME,1.6671477098196377,1.1921477098196376,0.475,1.6671477098196377,154.64686119603556,4.625433443106205,4.977460654317249,0.3554278168186221,0.8302153485956936,0.525,1,0.7955568455451174,1.0,1,3.4009940830000005,3801,1.6671477098196377,0.0
18,20260718,DBO,1.1709641798795811,0.795964179879581,0.375,1.1709641798795811,118.75050860305055,3.017752085976025,3.3697792971870677,0.43050588520777827,0.9116811797838015,0.625,1,0.7068096311722727,1.0000000000000002,1,3.310806208000031,3801,1.1709641798795811,0.0
18,20260718,TLBO-HHO,1.1496473654958939,0.7913140321625605,0.3583333333333333,1.1496473654958939,87.03699713936153,2.8966230612919284,3.248650272502972,0.43030091152539895,0.912036325326576,0.6416666666666667,1,0.5521663437687248,1.0000000000000002,1,3.301124833000017,3801,1.1496473654958939,0.0
18,20260718,CWTSSA,1.2494631093895698,0.8494631093895699,0.4,1.2494631093895698,74.89732785060013,3.2424115101874165,3.59443872139846,0.42423709228747736,0.9052232747776705,0.6,1,0.49152338082695246,1.0000000000000002,1,3.2298571669999774,3801,1.2494631093895698,0.0
